fecha,municipio,pm10,pm25,o3,precipitacion,humedadrelativa,temperatura,dia_semana
2015-12-16 00:00:00,79,17,,60.9836125,0,74.8,22.4,3
2015-12-16 00:00:00,88,40.0073312381669,,56.3114875,0,74.8,22.4,3
2015-12-16 00:00:00,129,66.1973007602057,33,107.9508125,0,72.5,20.3,3
2015-12-16 00:00:00,212,30,,,0,74.8,22.4,3
2015-12-16 00:00:00,266,,,,0,72.5,20.3,3
2015-12-16 00:00:00,308,48.6,15.9,56.557375,0,74.8,22.4,3
2015-12-16 00:00:00,360,68.3623552965183,37.2198912426341,86.803275,0,72.5,20.3,3
2015-12-16 00:00:00,380,55.2204687340903,62.8,,0,72.5,20.3,3
2015-12-16 00:00:00,631,49,,,0,72.5,20.3,3
2015-12-15 00:00:00,1,68.1516249951231,33.0698747639042,104.126967450903,0,52,24.6,2
2015-12-15 00:00:00,79,20.33,,66.14755,0,76.5,22,2
2015-12-15 00:00:00,88,43.5795036311076,,64.6721375,0,76.5,22,2
2015-12-15 00:00:00,129,55.5831943110929,25,84.8360875,0.5,76.3,19.8,2
2015-12-15 00:00:00,212,31,,,0,76.5,22,2
2015-12-15 00:00:00,266,,,,0.5,76.3,19.8,2
2015-12-15 00:00:00,308,46.4,13,53.557375,0,76.5,22,2
2015-12-15 00:00:00,360,69.5081615467556,27.2536548185243,70.4262375,0.5,76.3,19.8,2
2015-12-15 00:00:00,380,49.8998645274069,52.6,,0.5,76.3,19.8,2
2015-12-15 00:00:00,631,47,,,0.5,76.3,19.8,2
2015-12-14 00:00:00,1,86.3372997482155,38.6111692045622,84.368780294528,0,59,24.4,1
2015-12-14 00:00:00,79,23.67,,50.6557375,0,79.4,21.9,1
2015-12-14 00:00:00,88,41.9173915079597,,47.950825,0,79.4,21.9,1
2015-12-14 00:00:00,129,58.7835345666795,30,76.7213125,0,75.2,20.6,1
2015-12-14 00:00:00,212,32,,,0,79.4,21.9,1
2015-12-14 00:00:00,266,,,,0,75.2,20.6,1
2015-12-14 00:00:00,308,67,18.3,36.6639375,0,79.4,21.9,1
2015-12-14 00:00:00,360,84.5969966657778,35.3893420889815,83.85245,0,75.2,20.6,1
2015-12-14 00:00:00,380,45.1037843278132,65.1,,0,75.2,20.6,1
2015-12-14 00:00:00,631,45,,,0,75.2,20.6,1
2015-12-13 00:00:00,1,68.453605924945,31.2969571115634,91.9602513100268,0,57,25.4,0
2015-12-13 00:00:00,79,27,,51.9098375,0,76.8,22.3,0
2015-12-13 00:00:00,88,40.6467120418636,,90.7377125,0,76.8,22.3,0
2015-12-13 00:00:00,129,46.3290858405379,27.7,90.7377125,0,70.4,20.8,0
2015-12-13 00:00:00,212,33.33,,,0,76.8,22.3,0
2015-12-13 00:00:00,266,,,,0,70.4,20.8,0
2015-12-13 00:00:00,308,47,22.1,47.827875,0,76.8,22.3,0
2015-12-13 00:00:00,360,76.8384620361088,30.2103141061536,88.2049125,0,70.4,20.8,0
